fileName,script,labels
Ses01F_impro01_F000,Excuse me.,neu
Ses01F_impro01_M000,Do you have your forms?,fru
Ses01F_impro01_F001,Yeah.,neu
Ses01F_impro01_M001,Let me see them.,fru
Ses01F_impro01_F002,Is there a problem?,neu
Ses01F_impro01_M002,Who told you to get in this line?,fru
Ses01F_impro01_F003,You did.,xxx
Ses01F_impro01_F004,You were standing at the beginning and you directed me.,xxx
Ses01F_impro01_M003,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,fru
Ses01F_impro01_F005,Well what's the problem?  Let me change it.,neu
Ses01F_impro01_M004,This form is a Z.X.four.,fru
Ses01F_impro01_M005,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",fru
Ses01F_impro01_F006,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,fru
Ses01F_impro01_M006,No. I need another set of ID to prove this is actually you.,fru
Ses01F_impro01_F007,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,fru
Ses01F_impro01_M007,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,fru
Ses01F_impro01_F008,I'm here to get an ID.,fru
Ses01F_impro01_M008,"No.  I need another ID, a separate one.",fru
Ses01F_impro01_F009,Like what?  Like a birth certificate?,fru
Ses01F_impro01_M009,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",fru
Ses01F_impro01_F010,Who the hell has a birth certificate?,xxx
Ses01F_impro01_F011,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",fru
Ses01F_impro01_M010,"Yeah.  We keep it on file, but we need an ID to access that file.",fru
Ses01F_impro01_F012,That's out of control.,ang
Ses01F_impro01_M011,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,ang
Ses01F_impro01_F013,How long have you been working here?,fru
Ses01F_impro01_M012,Actually too long.,xxx
Ses01F_impro01_F014,"Clearly.  You know, do you have like a supervisor or something?",neu
Ses01F_impro01_M013,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,ang
Ses01F_impro01_F015,That would - I would appreciate that.  Yeah.,fru
Ses01F_impro02_F000,Did you get the mail? So you saw my letter?,sad
Ses01F_impro02_M000,It's not fair.,xxx
Ses01F_impro02_F001,Yeah.  I know.,sad
Ses01F_impro02_M001,"I don't understand.  You've already done so much, I don't know why do you have to go back.",sad
Ses01F_impro02_F002,I don't know.  I put in that. request too. They didn't...,sad
Ses01F_impro02_F003,"I guess, you know, everybody has to make sacrifices.",neu
Ses01F_impro02_M002,"I don't know, it's just not fair.  I think you've already made your sacrifice.",xxx
Ses01F_impro02_F004,"There's people that have given more though, you know?",sad
Ses01F_impro02_M003,I just don't see how they can make you leave when you have a new baby - we have a new kid.,fru
Ses01F_impro02_F005,I know.,sad
Ses01F_impro02_M004,Then why is that fair?  Why--,xxx
Ses01F_impro02_F006,"There's babies over there, though, that need mothers.",neu
Ses01F_impro02_M005,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,sad
Ses01F_impro02_F007,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",xxx
Ses01F_impro02_M006,I'm just trying to think of another way.  I'm just trying to...,xxx
Ses01F_impro02_F008,"Just, you know, kicking myself.",sad
Ses01F_impro02_F009,like you sign up because you need money and,xxx
Ses01F_impro02_F010,things just aren't what they seem.,sad
Ses01F_impro02_M007,This is a stupid war.,xxx
Ses01F_impro02_F011,"We're doing the right thing, though.",xxx
Ses01F_impro02_M008,I know.,fru
Ses01F_impro02_M009,I just don't see why it has to be you.,sad
Ses01F_impro02_F012,"If not me then, who?",sad
Ses01F_impro02_M010,What am I going to do? Huh?,sad
Ses01F_impro02_F013,"You'll videotape everything, yeah?",sad
Ses01F_impro02_M011,Yeah.,sad
Ses01F_impro02_F014,"Maybe you can send it to me, like stream it, yeah?",sad
Ses01F_impro02_M012,Don't you guys have access to computers over there.,neu
Ses01F_impro02_F015,Last month--  Yeah.,sad
Ses01F_impro02_M013,I just don't know how I'm going to do it without you.,sad
Ses01F_impro02_F016,I have to find sitters.,neu
Ses01F_impro02_M014,I can't raise a baby by myself.  How?,sad
Ses01F_impro02_F017,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",sad
Ses01F_impro02_M015,I know.,neu
Ses01F_impro02_F018,And your mother is close by.,neu
Ses01F_impro02_F019,I'll send you lots of letters.,sad
Ses01F_impro02_F020,And I want lots and lots and lots of pictures.,sad
Ses01F_impro02_M016,It's just not fair.,fru
Ses01F_impro03_M000,So what's up?  What's new?,neu
Ses01F_impro03_F000,Well Vegas was awesome.,hap
Ses01F_impro03_M001,Yeah.  I heard.,neu
Ses01F_impro03_F001,"And, um, I got married.",hap
Ses01F_impro03_M002,Shut up.  No- in Vegas?,sur
Ses01F_impro03_F002,Yeah.  In the old town part.,hap
Ses01F_impro03_M003,Who did you marry?,exc
Ses01F_impro03_F003,Chuck. [LAUGHTER],xxx
Ses01F_impro03_M004,Did you propose to you?,xxx
Ses01F_impro03_F004,Um- Yes.  It was very romantic.,hap
Ses01F_impro03_F005,It was at the slot machines.,hap
Ses01F_impro03_M005,Oh.  The Wheel of Fortune slots?,xxx
Ses01F_impro03_F006,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",hap
Ses01F_impro03_M006,He turned to you and was like...,neu
Ses01F_impro03_F007,Hey.  Let's get married and I said okay.,xxx
Ses01F_impro03_M007,[LAUGHTER] That's really romantic.,hap
Ses01F_impro03_F008,"Yeah.  Well.  You know, because he's leaving the next day.",hap
Ses01F_impro03_M008,Yeah.,neu
Ses01F_impro03_F009,But we're going to have a honeymoon cruise.,hap
Ses01F_impro03_M009,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",neu
Ses01F_impro03_F010,Oh.  I hadn't even thought about that.,hap
Ses01F_impro03_M010,Yeah.  Think about that.,xxx
Ses01F_impro03_F011,"He's not going to be a citizen, though.",xxx
Ses01F_impro03_M011,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,neu
Ses01F_impro03_F012,Oh.  Totally.,hap
Ses01F_impro03_M012,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",xxx
Ses01F_impro03_F013,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],hap
Ses01F_impro03_M013,Like you need another one of those.[LAUGHTER],hap
Ses01F_impro03_F014,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,xxx
Ses01F_impro03_M014,Is that your phone?,hap
Ses01F_impro03_F015,"Yeah, so [LAUGHTER] He's calling me now",exc
Ses01F_impro03_M015,He loves you.,hap
Ses01F_impro03_F016,"He likes to keep tabs, you know.",hap
Ses01F_impro03_M016,How much did he win at the slot?,neu
Ses01F_impro03_F017,"Uh, I think seven hundred and fifty dollars.",neu
Ses01F_impro03_M017,Really? Penny slots?,sur
Ses01F_impro03_F018,Penny slots. That's what he plays.,neu
Ses01F_impro03_M018,Wow.,sur
Ses01F_impro03_F019,Yeah.,neu
Ses01F_impro03_M019,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,neu
Ses01F_impro03_F020,Oh.,xxx
Ses01F_impro03_F021,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,hap
Ses01F_impro03_M020,"But the pennies always get you because you end up spending like, you know, fifty bucks.",neu
Ses01F_impro03_F022,Fifty bucks. Mmhmm.,neu
Ses01F_impro03_M021,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",neu
Ses01F_impro03_F023,Yeah.,neu
Ses01F_impro03_F024,Well so now we're married. We have cat children.,hap
Ses01F_impro03_M022,Awesome.,exc
Ses01F_impro03_M023,[LAUGHTER] Cat babies.,hap
Ses01F_impro03_F025,"We renamed Brenda, Lumber Janet.",hap
Ses01F_impro03_M024,That's fair enough.,neu
Ses01F_impro03_F026,She needs a new name each state that we go into. [LAUGHTER],hap
Ses01F_impro04_M000,"Have you tried, uh, Craig's List?",neu
Ses01F_impro04_F000,"Uh, what?  Craig's List?  Oh the internet thing?",neu
Ses01F_impro04_M001,Yeah.,neu
Ses01F_impro04_F001,I don't know.  Isn't that-- that's all like escort services and things like that.,neu
Ses01F_impro04_M002,No.  There's regular jobs on there.,neu
Ses01F_impro04_F002,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",fru
Ses01F_impro04_M003,Uh huh.,neu
Ses01F_impro04_M004,I'm just saying I have a friend that got a good job on it so I was just recommending it.,neu
Ses01F_impro04_F003,What kind of a job?,xxx
Ses01F_impro04_M005,He's like a manager for a theatre.,neu
Ses01F_impro04_F004,Really?,xxx
Ses01F_impro04_M006,He's like a house manager. Yeah.  It's a good job.,neu
Ses01F_impro04_F005,He just...,neu
Ses01F_impro04_F006,you know what?  I heard about that job.  I applied for that.,neu
Ses01F_impro04_M007,You did?,neu
Ses01F_impro04_F007,Yeah.  I saw a posting at the theatre.,fru
Ses01F_impro04_M008,Yeah.,neu
Ses01F_impro04_F008,He got it?,xxx
Ses01F_impro04_M009,You've been looking for a job for a long time; that was a long time ago.  Right?,neu
Ses01F_impro04_F009,Yeah.,neu
Ses01F_impro04_M010,Hmm.,neu
Ses01F_impro04_F010,What did he do?  What was so great?  I don't understand why they would pick him over me.,xxx
Ses01F_impro04_M011,I don't know.  He had a really good resume I guess and--,neu
Ses01F_impro04_F011,A resume?,xxx
Ses01F_impro04_M012,Yeah.  Do you have a resume?,neu
Ses01F_impro04_F012,No.,xxx
Ses01F_impro04_M013,It's kind of helpful when getting a job.,neu
Ses01F_impro04_F013,I just- I mean I call people up and I tell them what I'm good at.,neu
Ses01F_impro04_M014,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,neu
Ses01F_impro04_F014,Yeah.,neu
Ses01F_impro04_F015,I don't like- I don't like sending things in the mail.  I don't want my information out there.,xxx
Ses01F_impro04_M015,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",neu
Ses01F_impro04_F016,I'm there in front of them.  I'm telling them what I'm good at.,fru
Ses01F_impro04_M016,"Yeah.  But the piece of paper helps, too.",neu
Ses01F_impro04_F017,Why?  It's a piece of paper.,fru
Ses01F_impro04_M017,"No.  But it has an outline, you know.",neu
Ses01F_impro04_F018,"I just don't want this paper trail, you know.  I just don't want things following me around, like-.",fru
Ses01F_impro04_M018,"I know.  Okay.  Well, um. Maybe--",neu
Ses01F_impro04_F019,"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",fru
Ses01F_impro04_M019,Yeah.,neu
Ses01F_impro04_M020,"Okay, yeah.  I would imagine.",neu
Ses01F_impro04_F020,..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,xxx
Ses01F_impro04_M021,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",neu
Ses01F_impro04_F021,"That's baloney, that's baloney.",fru
Ses01F_impro04_F022,Please.,fru
Ses01F_impro04_M022,maybe get a car.,neu
Ses01F_impro04_M023,"I just, you know, think you should try a little harder maybe.",neu
Ses01F_impro04_F023,you think that you're better than me because I don't have a car?,fru
Ses01F_impro04_M024,I didn't say that.,neu
Ses01F_impro04_F024,"You know, you're riding the bus, too.",fru
Ses01F_impro04_M025,"I am riding the bus, but by choice.",neu
Ses01F_impro04_F025,Why?  What choice?,fru
Ses01F_impro04_M026,"To save the environment, carpool.",neu
Ses01F_impro04_F026,You're saving the environment. mmhmm,fru
Ses01F_impro04_M027,Yes.  One less car at a time.,neu
Ses01F_impro04_F027,Interesting.  That's fantastic.,fru
Ses01F_impro04_M028,Mmhmm.,neu
Ses01F_impro04_M029,"You know, you don't have to take out your frustration on me, you know, just because...",fru
Ses01F_impro04_F028,I'm not frustrated.,ang
Ses01F_impro04_M030,...you can't get a job and refuse to have a resume.,fru
Ses01F_impro04_F029,Who do you think you are?,ang
Ses01F_impro04_M031,I don't think I'm anyone.,neu
Ses01F_impro04_F030,You are so high and mighty.  I just--,ang
Ses01F_impro04_M032,I- I-I didn't-- okay.,neu
Ses01F_impro04_F031,Oh.  I'm saving the environment. I'm riding this car because I- I want to.,ang
Ses01F_impro04_M033,What?  No.,xxx
Ses01F_impro04_M034,What? Oh.  So now you're...,fru
Ses01F_impro04_F032,"The bus, I'm riding the bus because I want to.",ang
Ses01F_impro04_M035,you know what?  You don't have to take your anger and your hurt out on me.,fru
Ses01F_impro04_F033,I can not-- you are not here by choice.  Nobody would ride this bus by choice.,ang
Ses01F_impro04_M036,Why not?,xxx
Ses01F_impro05_F000,Hi.,fru
Ses01F_impro05_M000,Hi.  Thanks for waiting.,neu
Ses01F_impro05_F001,Yeah. This is the fourth line that I have been in.,fru
Ses01F_impro05_M001,Can I help you?,hap
Ses01F_impro05_M002,Uh huh.,hap
Ses01F_impro05_F002,I need my bag.,fru
Ses01F_impro05_M003,Okay.,neu
Ses01F_impro05_F003,"I flew in over three hours ago, I've been in four different lines.",fru
Ses01F_impro05_M004,Okay.,neu
Ses01F_impro05_F004,I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,fru
Ses01F_impro05_M005,Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,neu
Ses01F_impro05_F005,Nash.,fru
Ses01F_impro05_M006,Okay.,neu
Ses01F_impro05_F006,No G.,xxx
Ses01F_impro05_M007,all right- okay.  And you lost your bag? Is that- that the issue?,neu
Ses01F_impro05_F007,Yes.,fru
Ses01F_impro05_F008,Flight seven fourteen.,ang
Ses01F_impro05_M008,Uh-huh.,neu
Ses01F_impro05_F009,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",ang
Ses01F_impro05_M009,"Yeah. Yeah, I don't see- I don't see any--",neu
Ses01F_impro05_M010,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",neu
Ses01F_impro05_M011,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",neu
Ses01F_impro05_F010,"Oh, Are you kidding me?",xxx
Ses01F_impro05_M012,"for such an inconvenience and your bag, but",neu
Ses01F_impro05_F011,Is this a joke?,ang
Ses01F_impro05_M013,Yeah.,neu
Ses01F_impro05_M014,"No, no.",neu
Ses01F_impro05_F012,"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",ang
Ses01F_impro05_M015,"No, no.  This is real.",neu
Ses01F_impro05_F013,So you'll give me money and then I'll get my bag?,xxx
Ses01F_impro05_M016,"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",neu
